제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
645306810,한빅사정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
644004230,데카르탄정16밀리그램(칸데사르탄실렉세틸)_(16mg/1정),122602ATB,Candesartan cilexetil,칸데사르탄실렉세틸 32mg,32,16,급여,20210599,2021-12-16
657307780,칸데르탄정16밀리그램(칸데사르탄실렉세틸)_(16mg/1정),122602ATB,Candesartan cilexetil,칸데사르탄실렉세틸 32mg,32,16,급여,20210599,2021-12-16
663605910,프라큅정2밀리그램(로피니롤염산염)_(2.28mg/1정),224902ATB,Ropinirole,로피니롤 24mg,24,2,급여,20210599,2021-12-16
694002200,리키롤피디정2밀리그램(로피니롤염산염)_(2.28mg/1정),224902ATR,Ropinirole,로피니롤 24mg,24,2,급여,20210599,2021-12-16
694002820,리키롤정0.25밀리그램(로피니롤염산염)_(0.285mg/1정),224903ATB,Ropinirole,로피니롤 24mg,24,0.25,급여,20210599,2021-12-16
645403300,도파프로정0.25밀리그램(로피니롤염산염)_(0.285mg/1정),224903ATB,Ropinirole,로피니롤 24mg,24,0.25,급여,20210599,2021-12-16
643508480,빌다글정50밀리그램(빌다글립틴염산염)_(56mg/1정),685801ATB,vildagliptin hydrochloride(as vildagliptin),빌다글립틴 100mg,100,50,급여,20210599,2021-12-16
648501661,세프악손주1그램(세프트리악손나트륨수화물)_(1g/1병),128801BIJ,Ceftriaxone,세프트리악손 4g(역가),4000,1000,급여,20210599,2021-12-16
669800671,뉴락손주1그램(세프트리악손나트륨수화물)(수출명:  CEJUXONE INJ.)_(1g/1병),128801BIJ,Ceftriaxone,세프트리악손 4g(역가),4000,1000,급여,20210599,2021-12-16
642301581,"삼성세프트리악손나트륨주1그람(수출명:STRAXONEInj.)_(세프트리악손나트륨수화물, 1g/1병)",128801BIJ,Ceftriaxone,세프트리악손 4g(역가),4000,1000,급여,20210599,2021-12-16
